Finished,ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q15,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9,Q10,Q10 ID,Q10_7_TEXT,Q11,Q12,Q13,Q16
True,R_7xE0pnZHhXuSRQ2,Yes,1 / 1st year,Nursing,Yes,,No,No,No,A few times a month,A few times a month,Basically every day,A few times a month,A few times a week,1,,,,,,0.0,
True,R_6FIJLbf2pqjRP6l,Yes,1 / 1st year,Engineering,Yes,,No,No,No,A few times a month,Not at all,Basically every day,A few times a month,A few times a month,0,Personal Car,1.0,,45.0,,,
True,R_7iU5UT0Cwkdv04W,Yes,1 / 1st year,Liberal Arts and Social Sciences,Yes,,No,No,No,Not at all,A few times a month,Basically every day,Once a month,A few times a month,1,,,,,,1.0,3.0
True,R_5dpnZlHg7vlNc2l,Yes,1 / 1st year,Natural Sciences and Mathematics,No,I did not know the election was taking place,No,No,No,Not at all,A few times a month,Basically every day,A few times a week,Once,1,,,,,,0.0,
True,R_3WvzoFFWDF9PVpO,Yes,2 / 2nd year,Natural Sciences and Mathematics,No,I voted at a another polling location,No,No,No,Not at all,Once,Basically every day,A few times a week,A few times a month,1,,,,,,1.0,0.0
True,R_3Mf6npt5Xg3dTfb,Yes,2 / 2nd year,Engineering,Yes,,No,No,No,Not at all,Once,A few times a month,Less than once a month,Not at all,0,Carpool,2.0,,45.0,,,
True,R_61bnDQQaUFeRR2y,Yes,4+ / 4th year and beyond,"Art, Music, Dance, Theater",No,I voted at a another polling location,No,No,Yes,Not at all,Basically every day,Basically every day,Less than once a month,Once a month,1,,,,,,0.0,
True,R_6QnKtEntWeFITT5,Yes,1 / 1st year,Liberal Arts and Social Sciences,No,I do not feel strongly for politics/ voting,No,No,No,Not at all,Not at all,A few times a month,Once,Not at all,0,Personal Car,1.0,,50.0,,,
True,R_3I4UAhSnNAMST0B,Yes,2 / 2nd year,Integrated Studies,No,I voted at a another polling location,No,No,Yes,Not at all,A few times a month,A few times a week,A few times a month,A few times a month,0,Personal Car,1.0,,90.0,,,
True,R_7CBgSVIQEr7qaKU,Yes,3 / 3rd year,"Art, Music, Dance, Theater",No,I did not know the election was taking place,No,No,No,Not at all,Once a month,Basically every day,Less than once a month,A few times a month,1,,,,,,1.0,5.0
True,R_3ClkGFUVMMdHVH2,Yes,3 / 3rd year,Education,No,I voted at a another polling location,No,No,No,Not at all,Not at all,A few times a week,Less than once a month,Once,1,,,,,,0.0,
True,R_7RjoEAXkbeEuWBz,Yes,3 / 3rd year,Natural Sciences and Mathematics,No,I voted at a another polling location,No,No,No,Less than once a month,Once a month,A few times a month,A few times a month,Less than once a month,0,Personal Car,1.0,,30.0,,,
